[[48798.56243837857, 25993.29803966587], [48798.56243837857, 25993.29803966587]]
[[9296.0, 7880.0], [16064.0, 15344.0]]
[[34121.99141915088, 25602.127024744263], [34121.99141915088, 25602.127024744263]]
[[47421.862730317785, 16067.232434611153], [47421.862730317785, 16067.232434611153]]
[[44882.822130534594, 24222.484117605563], [44882.822130534594, 24222.484117605563]]
[[40356.34513107306, 26985.746499334025], [40356.34513107306, 26985.746499334025]]
[[31126.74386955796, 29288.31619259863], [31126.74386955796, 29288.31619259863]]
[[48480.48841181627, 16884.252921277694], [48480.48841181627, 16884.252921277694]]
[[32348.309740272896, 25313.528913031634], [32348.309740272896, 25313.528913031634]]
[[30999.739628496616, 17300.842830792582], [30999.739628496616, 17300.842830792582]]
[[27804.31739055259, 17987.847657061167], [27804.31739055259, 17987.847657061167]]
[[29566.279586761433, 22968.45188342569], [29566.279586761433, 22968.45188342569]]
[[35203.73354071667, 19915.94149796218], [35203.73354071667, 19915.94149796218]]
[[42234.7376059381, 16172.306372626668], [42234.7376059381, 16172.306372626668]]
[[26312.999826729523, 19678.765356988257], [26312.999826729523, 19678.765356988257]]
[[12608.0, 484.0], [18944.0, 7824.0]]
[[46010.53552030468, 17816.86523074276], [46010.53552030468, 17816.86523074276]]
[[27742.790352657896, 19384.519004845606], [27742.790352657896, 19384.519004845606]]
[[24942.178387779044, 19373.159962476464], [24942.178387779044, 19373.159962476464]]
[[46852.536078590856, 23023.93455159046], [46852.536078590856, 23023.93455159046]]
[[34681.392035379824, 22229.774509786814], [34681.392035379824, 22229.774509786814]]
[[42871.23362315105, 18049.944776440138], [42871.23362315105, 18049.944776440138]]
[[18972.0, 460.0], [24908.0, 5848.0]]
[[41335.51380782955, 28909.096838699727], [41335.51380782955, 28909.096838699727]]
[[43870.10494574, 23278.633366848102], [43870.10494574, 23278.633366848102]]
[[38947.56504030453, 22664.43601959927], [38947.56504030453, 22664.43601959927]]
[[47715.45056210444, 19102.245535312457], [47715.45056210444, 19102.245535312457]]
[[24978.448626518988, 25241.938939767115], [24978.448626518988, 25241.938939767115]]
[[25654.870739398517, 22782.919364577123], [25654.870739398517, 22782.919364577123]]
[[40596.376746074224, 28876.823909327155], [40596.376746074224, 28876.823909327155]]
[[39124.34765696457, 26238.121806503987], [39124.34765696457, 26238.121806503987]]
[[43881.4990787377, 22979.806738400614], [43881.4990787377, 22979.806738400614]]
[[30570.27046112909, 21857.215540788813], [30570.27046112909, 21857.215540788813]]
[[39477.17829438082, 22623.046599151625], [39477.17829438082, 22623.046599151625]]
[[23492.0, 14088.0], [24904.430572995887, 16372.839821520214]]
[[45528.253902633485, 25983.411743680954], [45528.253902633485, 25983.411743680954]]
[[30123.483118894932, 27693.19721623075], [30123.483118894932, 27693.19721623075]]
[[45195.614263996686, 25251.424495791], [45195.614263996686, 25251.424495791]]
[[26344.613022323018, 26047.932036078113], [26344.613022323018, 26047.932036078113]]
[[37125.865151642894, 26540.909192497496], [37125.865151642894, 26540.909192497496]]
[[25298.66432802856, 29423.390610280407], [25298.66432802856, 29423.390610280407]]
[[34212.38219562883, 25158.157538681215], [34212.38219562883, 25158.157538681215]]
[[46180.12005457244, 30384.021804028685], [46180.12005457244, 30384.021804028685]]
[[31853.029818035295, 19342.47788545427], [31853.029818035295, 19342.47788545427]]
[[32547.47298814457, 19761.447222983137], [32547.47298814457, 19761.447222983137]]
[[32984.02496024496, 22691.952543707772], [32984.02496024496, 22691.952543707772]]
[[29056.659982217738, 23100.969844685125], [29056.659982217738, 23100.969844685125]]
[[47675.52201843039, 28820.018765622874], [47675.52201843039, 28820.018765622874]]
[[23908.0, 13344.0], [25904.530123840686, 15483.98493501535]]
[[29364.224674388766, 21993.362726039966], [29364.224674388766, 21993.362726039966]]
[[18908.0, 6016.0], [24864.0, 10260.0]]
[[35345.26536965008, 25924.073429640383], [35345.26536965008, 25924.073429640383]]
[[20800.0, 8500.0], [24896.0, 13420.0]]
[[32362.019764837165, 15681.632794736082], [32362.019764837165, 15681.632794736082]]
[[25003.65501440599, 30864.860219837807], [25003.65501440599, 30864.860219837807]]
[[29860.84315601426, 17232.40852682834], [29860.84315601426, 17232.40852682834]]
[[38355.33812483348, 24545.971736745192], [38355.33812483348, 24545.971736745192]]
[[35277.379253986015, 16190.734627227674], [35277.379253986015, 16190.734627227674]]
[[31862.6349987574, 30480.968137726275], [31862.6349987574, 30480.968137726275]]
[[35873.61229944051, 29191.057420563924], [35873.61229944051, 29191.057420563924]]
[[38489.875360536746, 24150.902550495724], [38489.875360536746, 24150.902550495724]]
[[47685.36725949265, 19403.863935009947], [47685.36725949265, 19403.863935009947]]
[[44400.69800201316, 25448.887693775934], [44400.69800201316, 25448.887693775934]]
[[29050.55979769977, 21675.801146815335], [29050.55979769977, 21675.801146815335]]
[[40762.72582522822, 25797.626214366574], [40762.72582522822, 25797.626214366574]]
[[43786.45538733683, 27961.919193993355], [43786.45538733683, 27961.919193993355]]
[[29960.027201807294, 30622.506655724334], [29960.027201807294, 30622.506655724334]]
[[29597.208348161847, 21062.53312430254], [29597.208348161847, 21062.53312430254]]
[[35136.3714467703, 19853.880119570465], [35136.3714467703, 19853.880119570465]]
[[41473.532310408154, 15935.55382015005], [41473.532310408154, 15935.55382015005]]
[[29740.522478885403, 16486.112754141137], [29740.522478885403, 16486.112754141137]]
[[25263.9862779476, 27740.69832261629], [25263.9862779476, 27740.69832261629]]
[[8104.0, 504.0], [14332.0, 8172.0]]
[[3604.0, 9064.0], [10140.0, 15412.0]]
[[42218.977401250595, 28499.71204781728], [42218.977401250595, 28499.71204781728]]
[[27680.84805590287, 25586.21774758023], [27680.84805590287, 25586.21774758023]]
[[29456.216516178087, 25569.036238309243], [29456.216516178087, 25569.036238309243]]
[[27407.753777395825, 18732.754745160157], [27407.753777395825, 18732.754745160157]]
[[45175.67214748805, 18025.377232892675], [45175.67214748805, 18025.377232892675]]
[[45440.549278026636, 21740.998811746183], [45440.549278026636, 21740.998811746183]]
[[25110.675906660577, 19712.17073543588], [25110.675906660577, 19712.17073543588]]
[[39508.14517642997, 24808.198709741715], [39508.14517642997, 24808.198709741715]]
[[40541.42738336347, 17745.032675161325], [40541.42738336347, 17745.032675161325]]
[[1872.0, 6164.0], [8356.0, 10556.0]]
[[26609.639915457243, 15545.932011209454], [26609.639915457243, 15545.932011209454]]
[[42959.035665775504, 21027.92438422355], [42959.035665775504, 21027.92438422355]]
[[41940.71131255926, 28866.745203743965], [41940.71131255926, 28866.745203743965]]
[[34586.18910877033, 24445.39546413258], [34586.18910877033, 24445.39546413258]]
[[29049.105773697724, 24617.135904599872], [29049.105773697724, 24617.135904599872]]
[[45276.770165761416, 28547.11102497688], [45276.770165761416, 28547.11102497688]]
[[39336.41761363624, 19002.784155540317], [39336.41761363624, 19002.784155540317]]
[[15032.0, 9488.0], [20464.0, 15332.0]]
[[35016.07646952655, 18782.780367625182], [35016.07646952655, 18782.780367625182]]
[[27190.353580842588, 24072.48108205276], [27190.353580842588, 24072.48108205276]]
[[49054.287573614056, 30191.935541729847], [49054.287573614056, 30191.935541729847]]
[[41059.31143339299, 21150.832332846654], [41059.31143339299, 21150.832332846654]]
[[42261.28778573408, 26431.78296108231], [42261.28778573408, 26431.78296108231]]
[[33888.76248315124, 27123.316586563073], [33888.76248315124, 27123.316586563073]]
[[47043.65372549248, 25691.06874039353], [47043.65372549248, 25691.06874039353]]
[[37051.49364276385, 26972.463567957664], [37051.49364276385, 26972.463567957664]]
